Indiv	Arm01		Arm02		Arm03		Arm04		Arm05		Arm06		Arm07		Arm08		Arm09		Arm10		Arm11		Armo01		Armo02		Armo03		Am-AG-1		Am-AG-10		Am-AG-2B		Am-AG-4B		Am-AG-11		Am-ATC-2		Am-ATC-3		Am-CT-2		Am-CT-5
S508-AM102-09_S508_L001_M_001	95	107	NA	NA	131	131.2	179	179	NA	NA	147.2	147.2	185	185	81	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S509-AM30-09_S509_L001_M_001	87	87	NA	NA	131	131	179	191	NA	NA	147	147	185	185	81	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S510-AM102-18_S510_L001_M_001	95	107	NA	NA	131	131	179	179	NA	NA	147	147.2	177	177	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-AM30-02_S511_L001_M_001	83	91	NA	NA	131	131	179	179	NA	NA	147	147.2	NA	NA	81	93	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S512-AM30-10_S512_L001_M_001	95	107	NA	NA	131.2	131.2	163	199	NA	NA	147	147	177	185	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S513-AM202-02_S513_L001_M_001	87	107	NA	NA	131	131	191	199	NA	NA	147.2	147.2	NA	NA	81	81	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S514-AM46-14_S514_L001_M_001	87	103	NA	NA	119.2	131.2	163	187	NA	NA	147	147	NA	NA	109	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S515-AM30-15_S515_L001_M_001	87	107	NA	NA	131.2	131.2	163	191	NA	NA	147	147.2	185	185	81	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S516-AM46-02_S516_L001_M_001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S517-AM30-12_S517_L001_M_001	87	87	NA	NA	131	131	163	179	NA	NA	147	147.2	177	185	81	113	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S518-AM205-02_S518_L001_M_001	87	107	NA	NA	131	131	179	199	NA	NA	147.2	147.2	NA	NA	81	109	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S519-AM46-06_S519_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	109	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S520-AM102-07_S520_L001_M_001	95	95	NA	NA	131	131.2	179	179	NA	NA	147.2	147.2	185	185	81	81	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S521-AM102-21_S521_L001_M_001	95	107	NA	NA	131	131.2	187	191	NA	NA	147.2	147.2	185	185	81	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S522-AM30-14_S522_L001_M_001	87	87	NA	NA	131	131	171	191	NA	NA	147	147	185	189	93	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S523-AM30-11_S523_L001_M_001	87	107	NA	NA	131.2	131.2	191	199	NA	NA	147.2	147.2	177	185	93	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S524-AM202-06_S524_L001_M_001	95	95	NA	NA	131	131.2	179	179	NA	NA	147	147.2	185	185	81	109	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S525-AM46-20_S525_L001_M_001	87	103	NA	NA	119.2	131.2	163	187	NA	NA	147	147	177	177	NA	NA	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S526-AM102-03_S526_L001_M_001	87	107	NA	NA	131	131	171	179	NA	NA	147	147.2	NA	NA	81	93	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S527-AM102-04_S527_L001_M_001	95	95	NA	NA	131.2	131.2	179	187	NA	NA	NA	NA	NA	NA	81	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S528-AM102-17_S528_L001_M_001	95	95	NA	NA	131.2	131.2	179	187	NA	NA	147	147.2	NA	NA	81	109	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S529-AM205-03_S529_L001_M_001	83	87	NA	NA	131	131	163	191	NA	NA	147.2	147.2	185	185	113	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S530-AM30-13_S530_L001_M_001	107	107	NA	NA	131	131.2	163	179	NA	NA	147.2	147.2	185	185	93	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S531-AM46-13_S531_L001_M_001	87	103	NA	NA	119.2	131.2	187	187	NA	NA	147	147	NA	NA	109	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S532-AM46-09_S532_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	109	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S533-AM102-05_S533_L001_M_001	95	95	NA	NA	131	131	179	187	NA	NA	147	147.2	177	185	81	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S534-AM46-03_S534_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	117	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S535-AM205-04_S535_L001_M_001	83	87	NA	NA	131	131	163	191	NA	NA	147.2	147.2	185	185	113	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S536-AM202-03_S536_L001_M_001	95	107	NA	NA	131	131.2	187	191	NA	NA	147.2	147.2	NA	NA	81	97	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S537-AM102-19_S537_L001_M_001	95	107	NA	NA	131.2	131.2	187	199	NA	NA	147.2	147.2	NA	NA	81	81	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S538-AM30-07_S538_L001_M_001	83	87	NA	NA	131	131	163	191	NA	NA	147.2	147.2	185	185	113	113	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S539-AM102-13_S539_L001_M_001	83	107	NA	NA	131	131	179	191	NA	NA	147	147.2	177	189	93	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S540-AM30-01_S540_L001_M_001	87	87	NA	NA	131.2	131.2	171	179	NA	NA	147.2	147.2	185	185	93	93	NA	NA	NA	NA	110	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S541-AM30-16_S541_L001_M_001	87	107	NA	NA	131	131.2	163	171	NA	NA	147	147.2	189	189	93	97	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S542-AM46-11_S542_L001_M_001	87	103	NA	NA	119.2	131.2	163	187	NA	NA	147	147	NA	NA	109	109	NA	NA	NA	NA	108	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S543-AM102-06_S543_L001_M_001	87	95	NA	NA	131	131	171	179	NA	NA	147	147.2	NA	NA	81	93	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S544-AM102-16_S544_L001_M_001	87	95	NA	NA	131	131	179	179	NA	NA	147	147.2	177	189	81	93	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S545-AM46-19_S545_L001_M_001	139	139	NA	NA	119.2	131.2	163	175	NA	NA	147	147.2	189	189	NA	NA	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S546-AM102-15_S546_L001_M_001	95	95	NA	NA	131.2	131.2	187	199	NA	NA	147.2	147.2	177	177	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S547-nc_S547_L001_M_001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S548-AM30-04_S548_L001_M_001	83	87	NA	NA	131	131	171	179	NA	NA	147	147	189	189	93	109	NA	NA	NA	NA	110	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S549-AM102-14_S549_L001_M_001	95	107	NA	NA	131	131.2	179	199	NA	NA	147	147.2	177	177	81	81	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S550-AM46-15_S550_L001_M_001	87	139	NA	NA	119.2	131.2	163	175	NA	NA	147	147.2	189	189	97	97	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S551-AM102-02_S551_L001_M_001	87	107	NA	NA	131	131	179	179	NA	NA	147	147	NA	NA	81	93	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S552-AM46-10_S552_L001_M_001	83	95	NA	NA	NA	NA	167	187	NA	NA	147	151	NA	NA	109	117	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S553-AM46-04_S553_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	NA	NA	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S554-AM46-07_S554_L001_M_001	83	139	NA	NA	119.2	131.2	167	187	NA	NA	147	151	NA	NA	109	109	NA	NA	NA	NA	108	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S555-AM202-04_S555_L001_M_001	95	107	NA	NA	131	131.2	191	199	NA	NA	147	147.2	177	177	81	97	NA	NA	NA	NA	110.2	110.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
