Serial,Sample,Loci,like_AA,like_AB
234,SB-POZO-03_A,Arm04,0.5,0.5
235,SB-POZO-03_A,Arm05,0.5,0.5
236,SB-POZO-03_A,Arm06,0.5,0.5
237,SB-POZO-03_A,Arm07,0.5,0.5
238,SB-POZO-03_A,Arm08,0.5,0.5
239,SB-POZO-03_A,Arm09,0.5,0.5
240,SB-POZO-03_A,Arm10,0.5,0.5
241,SB-POZO-03_A,Arm11,0.5,0.5
242,SB-POZO-03_A,Armo01,0.5,0.5
243,SB-POZO-03_A,Armo02,0.5,0.5
244,SB-POZO-03_A,Armo03,0.5,0.5
245,SB-POZO-03_A,Am-AG-1,0.5,0.5
246,SB-POZO-03_A,Am-AG-10,0.5,0.5
247,SB-POZO-03_A,Am-AG-4B,0.5,0.5
248,SB-POZO-03_A,Am-AG-11,0.5,0.5
249,SB-POZO-03_A,Am-CT-5,0.5,0.5
250,SB-POZO-03_A,Am-ATC-2,0.5,0.5
251,SB-POZO-03_A,Am-ATC-3,0.5,0.5
252,SB-POZO-03_A,Am-CT-2,0.5,0.5
253,SB-POZO-03_A,Am-AG-2B,0.5,0.5
254,SB-POZO-03_B,Arm01,0.5,0.5
255,SB-POZO-03_B,Arm02,0.5,0.5
256,SB-POZO-03_B,Arm03,0.5,0.5
257,SB-POZO-03_B,Arm04,0.5,0.5
258,SB-POZO-03_B,Arm05,0.5,0.5
259,SB-POZO-03_B,Arm06,0.5,0.5
260,SB-POZO-03_B,Arm07,0.5,0.5
261,SB-POZO-03_B,Arm08,0.5,0.5
262,SB-POZO-03_B,Arm09,0.5,0.5
263,SB-POZO-03_B,Arm10,0.5,0.5
264,SB-POZO-03_B,Arm11,0.5,0.5
265,SB-POZO-03_B,Armo01,0.5,0.5
266,SB-POZO-03_B,Armo02,0.5,0.5
267,SB-POZO-03_B,Armo03,0.5,0.5
268,SB-POZO-03_B,Am-AG-1,0.5,0.5
269,SB-POZO-03_B,Am-AG-10,0.5,0.5
270,SB-POZO-03_B,Am-AG-4B,0.5,0.5
271,SB-POZO-03_B,Am-AG-11,0.5,0.5
272,SB-POZO-03_B,Am-CT-5,0.5,0.5
273,SB-POZO-03_B,Am-ATC-2,0.5,0.5
274,SB-POZO-03_B,Am-ATC-3,0.5,0.5
275,SB-POZO-03_B,Am-CT-2,0.5,0.5
276,SB-POZO-03_B,Am-AG-2B,0.5,0.5
277,SB-POZO-09_A,Arm01,0.5,0.5
278,SB-POZO-09_A,Arm02,0.5,0.5
279,SB-POZO-09_A,Arm03,0.5,0.5
280,SB-POZO-09_A,Arm04,0.5,0.5
281,SB-POZO-09_A,Arm05,0.5,0.5
282,SB-POZO-09_A,Arm06,0.5,0.5
283,SB-POZO-09_A,Arm07,0.5,0.5
284,SB-POZO-09_A,Arm08,0.5,0.5
285,SB-POZO-09_A,Arm09,0.5,0.5
286,SB-POZO-09_A,Arm10,0.5,0.5
287,SB-POZO-09_A,Arm11,0.5,0.5
288,SB-POZO-09_A,Armo01,0.5,0.5
289,SB-POZO-09_A,Armo02,0.5,0.5
290,SB-POZO-09_A,Armo03,0.5,0.5
291,SB-POZO-09_A,Am-AG-1,0.5,0.5
292,SB-POZO-09_A,Am-AG-10,0.5,0.5
293,SB-POZO-09_A,Am-AG-4B,0.5,0.5
294,SB-POZO-09_A,Am-AG-11,0.5,0.5
295,SB-POZO-09_A,Am-CT-5,0.5,0.5
296,SB-POZO-09_A,Am-ATC-2,0.5,0.5
297,SB-POZO-09_A,Am-ATC-3,0.5,0.5
298,SB-POZO-09_A,Am-CT-2,0.5,0.5
299,SB-POZO-09_A,Am-AG-2B,0.5,0.5
300,SB-POZO-09_B,Arm01,0.5,0.5
301,SB-POZO-09_B,Arm02,0.5,0.5
302,SB-POZO-09_B,Arm03,0.5,0.5
303,SB-POZO-09_B,Arm04,0.5,0.5
304,SB-POZO-09_B,Arm05,0.5,0.5
305,SB-POZO-09_B,Arm06,0.5,0.5
306,SB-POZO-09_B,Arm07,0.5,0.5
307,SB-POZO-09_B,Arm08,0.5,0.5
308,SB-POZO-09_B,Arm09,0.5,0.5
309,SB-POZO-09_B,Arm10,0.5,0.5
310,SB-POZO-09_B,Arm11,0.5,0.5
311,SB-POZO-09_B,Armo01,0.5,0.5
312,SB-POZO-09_B,Armo02,0.5,0.5
313,SB-POZO-09_B,Armo03,0.5,0.5
314,SB-POZO-09_B,Am-AG-1,0.5,0.5
315,SB-POZO-09_B,Am-AG-10,0.5,0.5
316,SB-POZO-09_B,Am-AG-4B,0.5,0.5
317,SB-POZO-09_B,Am-AG-11,0.5,0.5
318,SB-POZO-09_B,Am-CT-5,0.5,0.5
319,SB-POZO-09_B,Am-ATC-2,0.5,0.5
320,SB-POZO-09_B,Am-ATC-3,0.5,0.5
321,SB-POZO-09_B,Am-CT-2,0.5,0.5
322,SB-POZO-09_B,Am-AG-2B,0.5,0.5
323,SB-SALD-04_A,Arm01,0.5,0.5
324,SB-SALD-04_A,Arm02,0.5,0.5
325,SB-SALD-04_A,Arm03,0.5,0.5
326,SB-SALD-04_A,Arm04,0.5,0.5
327,SB-SALD-04_A,Arm05,0.5,0.5
328,SB-SALD-04_A,Arm06,0.5,0.5
329,SB-SALD-04_A,Arm07,0.5,0.5
330,SB-SALD-04_A,Arm08,0.5,0.5
331,SB-SALD-04_A,Arm09,0.5,0.5
332,SB-SALD-04_A,Arm10,0.5,0.5
333,SB-SALD-04_A,Arm11,0.5,0.5
334,SB-SALD-04_A,Armo01,0.5,0.5
335,SB-SALD-04_A,Armo02,0.5,0.5
336,SB-SALD-04_A,Armo03,0.5,0.5
337,SB-SALD-04_A,Am-AG-1,0.5,0.5
338,SB-SALD-04_A,Am-AG-10,0.5,0.5
339,SB-SALD-04_A,Am-AG-4B,0.5,0.5
340,SB-SALD-04_A,Am-AG-11,0.5,0.5
341,SB-SALD-04_A,Am-CT-5,0.5,0.5
342,SB-SALD-04_A,Am-ATC-2,0.5,0.5
343,SB-SALD-04_A,Am-ATC-3,0.5,0.5
344,SB-SALD-04_A,Am-CT-2,0.5,0.5
345,SB-SALD-04_A,Am-AG-2B,0.5,0.5
346,SB-SALD-04_B,Arm01,0.5,0.5
347,SB-SALD-04_B,Arm02,0.5,0.5
348,SB-SALD-04_B,Arm03,0.5,0.5
349,SB-SALD-04_B,Arm04,0.5,0.5
350,SB-SALD-04_B,Arm05,0.5,0.5
351,SB-SALD-04_B,Arm06,0.5,0.5
352,SB-SALD-04_B,Arm07,0.5,0.5
353,SB-SALD-04_B,Arm08,0.5,0.5
354,SB-SALD-04_B,Arm09,0.5,0.5
355,SB-SALD-04_B,Arm10,0.5,0.5
356,SB-SALD-04_B,Arm11,0.5,0.5
357,SB-SALD-04_B,Armo01,0.5,0.5
358,SB-SALD-04_B,Armo02,0.5,0.5
359,SB-SALD-04_B,Armo03,0.5,0.5
360,SB-SALD-04_B,Am-AG-1,0.5,0.5
361,SB-SALD-04_B,Am-AG-10,0.5,0.5
362,SB-SALD-04_B,Am-AG-4B,0.5,0.5
363,SB-SALD-04_B,Am-AG-11,0.5,0.5
364,SB-SALD-04_B,Am-CT-5,0.5,0.5
365,SB-SALD-04_B,Am-ATC-2,0.5,0.5
366,SB-SALD-04_B,Am-ATC-3,0.5,0.5
367,SB-SALD-04_B,Am-CT-2,0.5,0.5
368,SB-SALD-04_B,Am-AG-2B,0.5,0.5
369,SC-CZE01-701_A,Arm01,0.5,0.5
370,SC-CZE01-701_A,Arm02,0.5,0.5
371,SC-CZE01-701_A,Arm03,0.5,0.5
372,SC-CZE01-701_A,Arm04,0.5,0.5
373,SC-CZE01-701_A,Arm05,0.5,0.5
374,SC-CZE01-701_A,Arm06,0.5,0.5
375,SC-CZE01-701_A,Arm07,0.5,0.5
376,SC-CZE01-701_A,Arm08,0.5,0.5
377,SC-CZE01-701_A,Arm09,0.5,0.5
378,SC-CZE01-701_A,Arm10,0.5,0.5
379,SC-CZE01-701_A,Arm11,0.5,0.5
380,SC-CZE01-701_A,Armo01,0.5,0.5
381,SC-CZE01-701_A,Armo02,0.5,0.5
382,SC-CZE01-701_A,Armo03,0.5,0.5
383,SC-CZE01-701_A,Am-AG-1,0.5,0.5
384,SC-CZE01-701_A,Am-AG-10,0.5,0.5
385,SC-CZE01-701_A,Am-AG-4B,0.5,0.5
386,SC-CZE01-701_A,Am-AG-11,0.5,0.5
387,SC-CZE01-701_A,Am-CT-5,0.5,0.5
388,SC-CZE01-701_A,Am-ATC-2,0.5,0.5
389,SC-CZE01-701_A,Am-ATC-3,0.5,0.5
390,SC-CZE01-701_A,Am-CT-2,0.5,0.5
391,SC-CZE01-701_A,Am-AG-2B,0.5,0.5
392,SC-CZE01-701_B,Arm01,0.5,0.5
393,SC-CZE01-701_B,Arm02,0.5,0.5
394,SC-CZE01-701_B,Arm03,0.5,0.5
395,SC-CZE01-701_B,Arm04,0.5,0.5
396,SC-CZE01-701_B,Arm05,0.5,0.5
397,SC-CZE01-701_B,Arm06,0.5,0.5
398,SC-CZE01-701_B,Arm07,0.5,0.5
399,SC-CZE01-701_B,Arm08,0.5,0.5
400,SC-CZE01-701_B,Arm09,0.5,0.5
401,SC-CZE01-701_B,Arm10,0.5,0.5
402,SC-CZE01-701_B,Arm11,0.5,0.5
403,SC-CZE01-701_B,Armo01,0.5,0.5
404,SC-CZE01-701_B,Armo02,0.5,0.5
405,SC-CZE01-701_B,Armo03,0.5,0.5
406,SC-CZE01-701_B,Am-AG-1,0.5,0.5
407,SC-CZE01-701_B,Am-AG-10,0.5,0.5
